age,experience,licence,NCD,PostcodeArea,make,EngineCC,fuel,value,vehicle_age,ownership,vehicle_kept,mileage,use,claims,price,train_test
32,9,Full,9,NW,MERCEDES-BENZ,2143,D,11200,4,0,Garage,6000,SDP&C,0,1587,0
26,9,Full,1,NE,FORD,1596,P,1800,8,3,Garage,9000,SDP&C,2,698,0
61,42,Full,20,CW,CITROEN,1398,D,500,14,4,Drive,5000,SDP,0,163,0
63,36,Full,10,M,VOLKSWAGEN,1896,D,1200,16,11,Road,8000,SDP,0,426,0
36,16,Full,5,SA,SEAT,1598,D,5700,4,2,Road,6000,SDP,0,371,0
32,9,Full,9,HX,NISSAN,3799,P,19700,8,0,Road,3000,SDP&C,0,2483,0
56,36,Full,4,LS,VAUXHALL,1910,D,2100,9,2,Drive,7000,SDP,3,689,0
36,17,Full,9,S,AUDI,1968,D,10200,7,2,Drive,8000,SDP&C,0,363,0
51,34,Full,10,DT,BMW,1995,D,7000,8,2,Garage,8000,SDP&C,0,197,0
51,23,Full,9,S,FORD,1596,P,0,17,11,Road,3000,SDP,0,167,0
68,51,Full,10,OL,TOYOTA,1794,P,2600,9,3,Drive,9000,SDP,2,468,0
27,10,Full,2,BS,BMW,2497,P,5700,9,0,Drive,6000,SDP&C,0,661,0
52,35,Full,20,TW,VAUXHALL,1398,P,6000,5,4,Drive,7000,SDP,0,552,0
48,16,Full,9,LL,VAUXHALL,1956,D,5600,4,0,Other,7000,SDP,0,362,0
46,26,Full,11,NN,RENAULT,1149,P,2400,7,2,Drive,7000,SDP,0,183,0
51,33,Full,0,NN,CITROEN,1587,P,100,15,0,Drive,7000,SDP,0,635,0
31,8,Full,7,M,VAUXHALL,1398,P,7900,1,0,Drive,10000,SDP&C,0,753,0
31,10,Full,10,GL,HONDA,2204,D,2500,11,0,Drive,12000,SDP&C,0,471,0
37,19,Full,10,SN,PEUGEOT,1560,D,2400,9,0,Garage,5000,SDP,0,431,0
64,42,Full,9,CV,HYUNDAI,1341,P,300,12,0,Road,7000,SDP&C,0,306,0
25,5,Full,0,YO,VAUXHALL,1598,P,400,13,0,Drive,3000,SDP,0,1082,0
26,9,Full,7,EX,SKODA,1896,D,1400,12,0,Drive,10000,SDP&C,0,443,0
74,47,Full,20,CH,VAUXHALL,1364,P,1500,13,9,Drive,4000,SDP,0,260,0
65,43,Full,9,PE,NISSAN,1598,P,7900,3,0,Drive,3000,SDP,0,228,0
63,40,Full,10,KY,VAUXHALL,998,P,3100,4,0,Road,3000,SDP,0,186,0
32,1,Full,1,SR,SUZUKI,1061,P,300,12,0,Drive,5000,SDP&C,0,806,0
79,40,Full,9,SP,CITROEN,1997,D,1000,13,11,Drive,3000,SDP,0,183,0
30,11,Full,9,NP,FORD,1398,D,500,13,0,Road,5000,SDP&C,0,648,0
25,7,Full,5,SG,RENAULT,1390,P,200,13,0,Drive,4000,SDP,1,591,0
49,24,Full,20,OL,TOYOTA,1998,P,5000,11,10,Drive,10000,Business,0,407,0
20,2,Full,3,GL,PEUGEOT,1397,P,4700,4,0,Drive,4000,SDP&C,0,845,0
27,0,Full,0,NR,CITROEN,1560,D,3000,8,0,Drive,1000,SDP,0,1081,0
64,46,Full,20,RG,VOLVO,2435,P,700,13,3,Road,10000,SDP,0,205,0
47,29,Full,20,CO,VOLKSWAGEN,1968,D,13400,3,0,Drive,12000,Business,0,398,0
41,9,Full,3,SO,MERCEDES-BENZ,1998,P,1200,15,3,Road,5000,SDP&C,0,694,0
37,3,Full,3,HU,TOYOTA,998,P,1200,10,3,Road,2500,SDP&C,0,321,0
35,10,Full,4,CF,FORD,1388,P,4100,5,2,Drive,6000,Business,2,749,0
36,17,Full,4,ME,FORD,1560,D,6200,7,1,Road,10000,SDP&C,0,535,0
44,22,Full,15,SK,LANDROVER,1796,P,1000,12,0,Drive,10000,SDP,0,460,0
43,26,Full,16,BN,DACIA,1461,D,4500,3,0,Road,8000,SDP,1,499,0
53,34,Full,5,TS,VOLKSWAGEN,1896,D,2000,10,3,Drive,5000,SDP,0,505,0
23,4,Full,4,SN,AUDI,1390,P,13500,1,0,Garage,4000,SDP,0,816,0
30,0,Full,0,SN,SKODA,1198,P,500,13,0,Drive,5000,Business,0,753,0
36,15,Full,13,ME,PEUGEOT,998,P,6600,1,0,Road,6000,SDP,0,339,0
63,38,Full,10,LL,FORD,1242,P,600,12,0,Drive,4000,SDP,0,180,0
21,4,Full,4,SY,BMW,1995,D,11400,5,1,Garage,10000,SDP&C,0,1027,0
40,22,Full,10,RM,VAUXHALL,1598,P,3700,5,0,Drive,4000,SDP,3,566,0
40,23,Full,14,B,VOLKSWAGEN,1968,D,2900,9,8,Road,9000,SDP&C,0,491,0
52,26,Full,12,DD,PEUGEOT,1560,D,3200,7,1,Drive,5000,SDP,0,313,0
27,10,Full,4,MK,VAUXHALL,1796,P,600,12,1,Drive,5000,SDP,0,911,0
71,50,Full,0,PE,VAUXHALL,1796,P,600,13,0,Garage,4000,SDP,0,355,0
34,16,Full,9,ML,AUDI,1968,D,11000,4,0,Drive,9000,SDP&C,1,350,0
74,50,Full,9,NN,HONDA,1198,P,2400,7,3,Drive,5000,SDP,0,255,0
22,4,Full,0,TQ,PEUGEOT,1124,P,200,17,0,Drive,5000,SDP,0,1139,0
73,38,Full,9,G,VAUXHALL,1598,P,8600,3,1,Drive,4000,SDP,0,212,0
52,34,Full,0,ST,LANDROVER,1951,D,1700,12,0,Drive,9000,SDP,0,631,0
37,9,Full,9,CV,VOLKSWAGEN,1968,D,2300,12,1,Road,4000,SDP,0,807,0
23,6,Full,6,BT,SUZUKI,1490,P,1900,9,0,Drive,6000,SDP&C,0,453,0
27,9,Full,0,SS,BMW,1995,P,5000,7,4,Drive,2000,SDP,0,715,0
25,5,Full,2,M,VAUXHALL,1364,P,1700,8,0,Drive,3000,SDP&C,0,1532,0
36,2,Full,0,BD,TOYOTA,998,P,1000,11,2,Drive,8000,SDP,0,1024,0
45,0,Full,0,DE,FORD,1388,P,700,11,0,Drive,4000,SDP&C,0,1094,0
34,6,Full,6,SS,VAUXHALL,1796,P,500,13,1,Garage,3000,SDP,0,675,0
23,3,Full,0,PR,FORD,1242,P,2600,7,1,Garage,8000,SDP,0,1656,0
57,35,Full,2,PO,FORD,1498,P,12300,1,0,Drive,10000,SDP&C,0,391,0
38,9,Full,7,CH,CITROEN,1360,P,900,10,8,Drive,7000,SDP&C,0,293,0
25,0,Full,0,MK,BMW,1995,D,2300,12,0,Drive,5000,SDP&C,0,2005,0
45,25,Full,12,CV,RENAULT,1598,P,100,15,4,Drive,7000,SDP,0,228,0
33,12,Full,12,BB,PEUGEOT,1560,D,11400,3,0,Road,8000,SDP&C,0,633,0
24,0,Full,0,L,FORD,999,P,7800,1,0,Drive,5000,SDP&C,0,2823,0
27,8,Full,8,BA,RENAULT,1598,P,2700,8,4,Drive,6000,SDP,0,288,0
31,2,Full,0,TN,PEUGEOT,1560,D,1000,12,0,Road,6000,SDP,1,1521,0
50,32,Full,10,NP,MAZDA,1598,P,700,12,9,Drive,10000,SDP&C,0,173,0
63,25,Full,15,WA,KIA,1991,D,1600,9,0,Drive,6000,SDP&C,0,330,0
24,6,Full,0,NG,RENAULT,1149,P,1100,11,0,Drive,3000,Business,0,763,0
19,0,Provisional,0,SR,NISSAN,1240,P,400,14,0,Drive,2000,SDP,0,1189,0
71,52,Full,13,NR,LANDROVER,2179,D,22400,4,4,Drive,8000,SDP,0,247,0
37,16,Full,1,SR,VAUXHALL,1686,D,4100,6,0,Garage,2000,SDP&C,0,882,0
35,17,Full,10,DE,MINI,1560,D,3200,9,1,Drive,20000,SDP&C,0,402,0
34,7,Full,6,TQ,HONDA,1973,P,500,18,3,Road,7000,SDP&C,0,437,0
25,1,Full,0,B,VAUXHALL,1398,P,6200,2,0,Drive,10000,SDP&C,0,1494,0
28,11,Full,7,OL,TOYOTA,998,P,1000,11,7,Garage,63000,SDP&C,0,572,0
28,8,Full,0,SE,NISSAN,1598,P,4000,8,0,Garage,3000,SDP,0,1711,0
36,18,Full,0,CR,VOLKSWAGEN,1984,P,700,16,0,Drive,3000,SDP,0,1313,0
77,56,Full,15,BT,HYUNDAI,998,P,6800,1,0,Drive,8000,SDP,0,430,0
59,42,Full,9,KA,PORSCHE,3436,P,26700,4,0,Garage,6000,SDP,0,330,0
45,28,Full,10,RH,MINI,1598,P,5000,8,1,Drive,4000,SDP&C,0,261,0
24,6,Full,0,KT,SEAT,1198,P,2600,6,2,Drive,7000,SDP,1,1025,0
46,19,Full,9,CA,VOLKSWAGEN,1390,P,5400,5,2,Drive,15000,SDP,0,238,0
49,33,Full,9,NE,TOYOTA,998,P,5000,2,0,Drive,3000,Business,0,326,0
18,1,Full,1,BB,HONDA,1198,P,5000,3,1,Drive,2500,SDP,0,1246,0
27,9,Full,7,EX,HONDA,1997,P,3400,14,2,Drive,3000,SDP,0,318,0
78,60,Full,20,AB,DACIA,898,P,3800,2,0,Road,3000,SDP,0,191,0
44,27,Full,3,CH,PEUGEOT,1997,D,1500,11,3,Drive,5000,SDP&C,0,392,0
80,60,Full,2,RH,VOLKSWAGEN,1984,P,700,15,14,Garage,7000,SDP,1,535,0
76,21,Full,20,CV,TOYOTA,1329,P,4200,4,3,Garage,4000,SDP,0,304,0
45,27,Full,9,ML,VAUXHALL,1910,D,1800,9,4,Road,6000,SDP&C,0,259,0
59,17,Full,11,DA,FORD,1997,D,1700,13,0,Garage,500,SDP,0,378,0
58,30,Full,18,B,FORD,1242,P,600,12,2,Garage,4000,SDP&C,0,449,0
67,41,Full,20,AB,CITROEN,1560,D,5200,4,0,Road,4000,SDP,0,218,0
67,40,Full,20,CV,VAUXHALL,1910,D,2300,8,1,Road,1000,SDP,0,238,0
40,22,Full,4,PO,FORD,1796,P,0,15,0,Road,5000,SDP&C,0,406,0
22,5,Full,0,AB,RENAULT,1149,P,200,16,0,Garage,4000,SDP,0,780,0
17,0,Full,0,SS,VAUXHALL,1229,P,1200,10,0,Drive,10000,SDP&C,0,2618,0
52,30,Full,9,WS,AUDI,1968,D,20000,3,2,Garage,7000,SDP,1,337,0
43,23,Full,1,TQ,PEUGEOT,1997,D,900,11,0,Drive,4000,SDP&C,0,484,0
24,4,Full,4,LL,PEUGEOT,998,P,2000,6,4,Drive,13000,Business,2,603,0
88,60,Full,9,G,CHEVROLET,1598,P,900,8,3,Road,5000,SDP,0,986,0
48,23,Full,20,BN,LANDROVER,2179,D,32400,2,1,Road,8000,SDP,1,509,0
29,9,Full,5,ST,AUDI,2967,D,12900,8,0,Drive,5000,SDP&C,0,1034,0
62,31,Full,18,DN,CITROEN,1560,D,4000,5,2,Drive,5000,SDP,0,205,0
44,21,Full,3,IV,MERCEDES-BENZ,2148,D,3200,11,1,Drive,8000,SDP&C,0,286,0
33,7,Full,3,NW,SEAT,1598,D,6500,4,0,Drive,3000,SDP&C,1,1214,0
33,11,Full,9,LS,JAGUAR,1998,D,1600,12,4,Drive,10000,SDP&C,0,606,0
32,12,Full,10,CO,FORD,1297,P,900,10,0,Road,5000,SDP&C,1,297,0
53,37,Full,4,OL,VOLVO,2435,P,300,16,3,Road,3000,SDP,0,510,0
19,0,Full,0,LE,RENAULT,1149,P,4000,10,0,Drive,8000,SDP&C,0,2462,0
24,1,Full,1,DN,SEAT,1595,P,3900,9,0,Drive,10000,SDP,0,1921,0
62,42,Full,0,HA,TOYOTA,1329,P,8800,0,0,Garage,1000,SDP,0,797,0
64,47,Full,9,BD,CITROEN,1124,P,300,15,3,Other,8000,SDP&C,0,320,0
17,0,Full,0,S,KIA,998,P,3800,3,0,Drive,3000,SDP&C,0,1254,0
50,33,Full,20,LN,PEUGEOT,1124,P,400,14,2,Road,10000,SDP,0,258,0
43,22,Full,10,WF,JAGUAR,1998,D,1200,13,1,Drive,5000,SDP&C,0,528,0
29,7,Full,6,TW,MERCEDES-BENZ,2143,D,17800,1,0,Drive,5000,SDP&C,0,1452,0
51,34,Full,20,CV,MERCEDES-BENZ,1461,D,13800,3,1,Drive,5000,SDP&C,0,292,0
52,26,Full,20,WD,KIA,2656,P,1400,12,7,Drive,2000,SDP&C,0,219,0
21,4,Full,4,KT,FORD,1798,P,2600,7,2,Drive,7000,SDP&C,0,780,0
49,30,Full,8,CF,NISSAN,1497,P,600,13,0,Garage,1000,SDP,0,549,0
25,6,Full,1,NG,MAZDA,1560,D,900,13,0,Drive,3000,SDP&C,2,1080,0
18,1,Full,0,CF,FIAT,1242,P,2500,8,0,Drive,10000,SDP,0,1150,0
29,11,Full,9,EH,CITROEN,999,P,4400,3,2,Road,8000,SDP&C,0,250,0
28,2,Provisional,0,PA,FORD,1242,P,400,13,0,Road,15000,SDP&C,0,857,0
49,30,Full,8,L,VOLKSWAGEN,1896,D,3500,8,0,Drive,6000,SDP&C,0,650,0
28,9,Full,0,G,VAUXHALL,1398,P,8400,1,0,Road,5000,SDP,0,529,0
47,19,Full,7,SA,RENAULT,1995,D,4900,8,2,Road,10000,SDP&C,0,315,0
46,29,Full,0,S,VOLKSWAGEN,1198,P,3700,4,0,Drive,5000,SDP&C,0,518,0
71,50,Full,10,DL,VAUXHALL,999,P,5200,1,0,Road,9000,SDP&C,0,210,0
21,4,Full,2,IP,AUDI,1781,P,1000,16,0,Drive,6000,SDP,0,1078,0
30,11,Full,7,S,VAUXHALL,1686,D,1700,11,5,Drive,8000,SDP&C,1,354,0
19,0,Provisional,0,CO,RENAULT,1149,P,300,15,0,Drive,4500,SDP,0,671,0
28,4,Full,0,KA,SUZUKI,1490,P,1800,9,0,Drive,5000,SDP,0,796,0
23,3,Full,3,RH,SEAT,1984,P,20000,1,0,Drive,5000,SDP&C,0,1250,0
18,0,Provisional,0,LL,AUDI,1896,D,4000,17,0,Drive,8000,SDP&C,0,1702,0
19,0,Full,2,LL,TOYOTA,998,P,10000,0,0,Drive,4000,SDP&C,0,1011,0
57,38,Full,9,S,KIA,2497,D,1500,13,0,Drive,8500,SDP&C,0,424,0
78,50,Full,14,WN,ALFA ROMEO,1598,P,600,13,0,Drive,3000,SDP,0,463,0
59,42,Full,20,CV,PEUGEOT,1360,P,1000,10,0,Garage,3000,SDP&C,0,276,0
32,13,Full,6,L,VAUXHALL,1242,P,2200,8,0,Drive,3000,SDP,0,1053,0
34,16,Full,0,ST,FIAT,1242,P,300,15,0,Garage,3995,SDP,0,1111,0
25,8,Full,7,G,VAUXHALL,1598,P,3000,7,1,Drive,3000,SDP&C,0,533,0
51,30,Full,7,G,RENAULT,1149,P,5900,2,2,Road,6000,SDP,0,229,0
42,24,Full,3,WA,HONDA,1998,P,1300,12,12,Drive,10000,SDP&C,1,546,0
40,10,Full,10,SN,MG,1396,P,300,11,0,Drive,2000,SDP,0,456,0
26,8,Full,1,GU,VOLKSWAGEN,1968,D,2900,11,6,Drive,8000,SDP&C,0,799,0
36,15,Full,1,MK,VAUXHALL,1598,P,700,10,1,Garage,6000,SDP,0,604,0
48,25,Full,20,RH,MERCEDES-BENZ,1796,P,2600,12,4,Drive,10000,SDP,0,280,0
26,8,Full,0,ML,AUDI,1598,D,11300,3,0,Drive,10000,SDP&C,0,1051,0
36,11,Full,7,DA,VOLKSWAGEN,1968,D,3200,9,1,Garage,4000,Business,0,652,0
23,5,Full,5,G,SKODA,1896,D,400,14,0,Drive,2000,SDP,0,687,0
59,42,Full,20,SS,AUDI,2967,D,9200,8,4,Garage,7000,SDP&C,0,282,0
56,37,Full,20,CV,SUZUKI,996,P,2400,4,1,Road,10000,Business,0,207,0
42,24,Full,5,LL,AUDI,1968,D,17400,3,0,Drive,13000,Business,1,627,0
44,25,Full,12,FY,VOLKSWAGEN,1968,D,15500,2,2,Garage,7000,SDP&C,0,300,0
43,24,Full,13,PH,TOYOTA,1329,P,5300,3,2,Road,3000,SDP&C,0,197,0
31,12,Full,6,BT,FORD,1753,D,2500,12,5,Drive,5000,SDP&C,0,352,0
37,16,Full,0,EH,VAUXHALL,1598,P,700,12,6,Garage,500,SDP,0,430,0
35,13,Full,3,RG,LANDROVER,2720,D,8900,11,0,Garage,3000,SDP,0,1136,0
61,39,Full,10,BL,VAUXHALL,1598,P,600,13,0,Drive,10000,SDP,0,437,0
36,17,Full,1,S,VOLKSWAGEN,1968,D,3900,8,3,Drive,5000,SDP&C,1,648,0
23,6,Full,4,UB,VAUXHALL,1598,P,3400,6,0,Drive,8000,SDP&C,1,845,0
28,10,Full,1,PL,VOLKSWAGEN,1968,D,2600,10,0,Garage,3000,SDP,0,578,0
43,23,Full,9,SG,VAUXHALL,1910,D,1700,9,2,Road,13000,SDP&C,2,336,0
19,1,Full,2,BT,RENAULT,1149,P,600,11,1,Garage,5000,SDP&C,0,1161,0
60,42,Full,20,SS,TOYOTA,1798,P,9100,6,2,Drive,8000,SDP&C,0,315,0
29,2,Full,2,NG,FORD,1596,P,1000,11,2,Road,4000,SDP&C,0,603,0
46,26,Full,8,IP,MERCEDES-BENZ,1796,D,11000,4,0,Drive,11000,SDP&C,0,309,0
52,32,Full,20,NR,VOLKSWAGEN,1968,D,3100,10,6,Drive,10000,SDP&C,0,207,0
72,52,Full,10,SY,AUDI,1197,P,6000,5,1,Road,6000,SDP,0,188,0
58,1,Full,1,YO,TOYOTA,998,P,900,14,0,Road,500,SDP,0,500,0
20,3,Full,0,IV,VOLKSWAGEN,1896,D,1100,13,0,Drive,4500,SDP,0,871,0
33,15,Full,8,M,AUDI,1968,D,13100,5,0,Garage,4000,Business,1,803,0
53,32,Full,20,BT,DACIA,1461,D,12000,2,1,Garage,10000,SDP&C,0,211,0
46,28,Full,20,WN,PEUGEOT,1360,P,1200,8,3,Drive,7000,SDP&C,0,300,0
45,27,Full,10,EN,PEUGEOT,998,P,9800,0,0,Road,7000,SDP&C,0,249,0
76,51,Full,16,IV,TOYOTA,1329,P,3600,7,7,Drive,4000,SDP,0,168,0
30,12,Full,8,WV,VAUXHALL,1199,P,200,15,0,Drive,3000,SDP&C,0,351,0
46,26,Full,20,DE,MAZDA,1998,P,10600,1,0,Garage,10000,Business,0,408,0
31,11,Full,10,G,MERCEDES-BENZ,1595,P,8500,5,0,Garage,3000,SDP,0,805,0
50,27,Full,18,EH,VOLKSWAGEN,1598,D,5500,6,4,Garage,14000,SDP&C,2,194,0
55,35,Full,0,PO,FORD,1998,D,1100,10,0,Road,7000,SDP,0,1314,0
32,14,Full,11,EX,FIAT,1242,P,2300,9,8,Drive,6000,SDP&C,0,178,0
27,9,Full,1,CF,HONDA,1590,P,700,14,0,Drive,8500,SDP&C,0,959,0
50,23,Full,9,CF,PEUGEOT,1560,D,5500,5,0,Drive,8000,SDP&C,0,485,0
52,35,Full,9,WF,RENAULT,1598,P,100,16,3,Garage,3000,SDP,0,209,0
51,34,Full,10,OX,MINI,1598,D,8500,5,3,Drive,12000,SDP&C,1,219,0
44,27,Full,4,PE,VAUXHALL,1956,D,3900,7,0,Drive,10000,SDP&C,1,423,0
34,16,Full,6,W,JAGUAR,5000,P,25000,8,4,Road,10000,SDP&C,3,870,0
52,29,Full,9,LL,RENAULT,1461,D,400,12,2,Drive,15000,SDP,0,210,0
59,33,Full,10,CF,TOYOTA,1796,P,700,15,5,Other,5000,SDP,0,202,0
50,33,Full,1,SA,VOLKSWAGEN,1896,D,700,15,1,Road,8000,SDP&C,0,306,0
44,25,Full,9,TA,FORD,1753,D,500,16,0,Road,10000,SDP&C,0,260,0
23,6,Full,2,PO,PEUGEOT,1360,P,400,15,2,Drive,10000,SDP,0,450,0
71,51,Full,10,CF,VOLKSWAGEN,1598,D,4500,8,7,Garage,6000,SDP,0,242,0
54,30,Full,14,HA,NISSAN,1598,P,7000,5,1,Drive,8000,SDP&C,1,706,0
42,22,Full,0,TQ,FORD,1998,D,900,12,0,Garage,5000,SDP,0,744,0
52,31,Full,20,SG,RENAULT,1390,P,300,16,0,Garage,8000,SDP&C,0,298,0
60,30,Full,9,N,TOYOTA,1998,P,100,18,8,Other,600,Business,0,402,0
40,22,Full,16,LL,HONDA,1997,P,400,16,1,Drive,6000,SDP&C,0,229,0
42,4,Full,4,SK,AUDI,1968,D,4900,9,1,Drive,8000,SDP&C,0,505,0
47,25,Full,20,DE,PEUGEOT,1360,P,600,12,0,Drive,4000,SDP,0,392,0
76,50,Full,10,RG,SUZUKI,1298,P,2200,11,0,Drive,9000,SDP,0,360,0
22,0,Full,0,PE,MINI,1598,P,1400,13,0,Garage,3000,SDP,0,2947,0
26,5,Full,3,B,AUDI,1968,D,3600,9,0,Drive,2000,SDP,0,2138,0
33,10,Full,1,DE,VAUXHALL,1598,P,4600,3,1,Road,7000,SDP&C,3,816,0
27,10,Full,3,CV,PEUGEOT,1598,P,1400,10,0,Drive,12000,SDP&C,1,621,0
62,36,Full,20,DL,HYUNDAI,998,P,10000,1,0,Garage,7000,Business,0,170,0
44,12,Full,7,WA,FORD,1242,P,400,19,0,Drive,500,SDP,0,1364,0
27,10,Full,3,LE,VAUXHALL,1910,D,3000,11,4,Drive,6500,SDP&C,1,1230,0
32,15,Full,7,HG,VOLVO,2922,P,400,16,2,Road,8000,SDP&C,0,572,0
22,3,Full,3,M,BMW,1995,P,8100,7,0,Drive,6000,SDP,0,2052,0
57,34,Full,10,PR,VAUXHALL,1956,D,4600,5,0,Drive,7000,SDP&C,0,443,0
48,31,Full,20,NN,NISSAN,1198,P,5000,5,3,Road,12000,SDP&C,1,205,0
69,25,Full,11,S,KIA,1086,P,800,11,2,Drive,3000,SDP,1,171,0
51,30,Full,15,NG,VOLKSWAGEN,1390,P,2500,11,10,Drive,1500,Business,0,232,0
35,0,Full,0,CF,FORD,1242,P,1900,7,0,Road,10000,SDP&C,0,990,0
43,25,Full,2,NP,VOLKSWAGEN,1781,P,400,16,0,Drive,8000,SDP&C,0,501,0
43,15,Full,9,SG,VAUXHALL,1956,D,2800,8,4,Drive,9000,SDP,0,303,0
31,1,Full,1,BT,HYUNDAI,1341,P,500,14,1,Drive,4000,SDP&C,0,1315,0
56,27,Full,12,PR,FORD,1596,P,300,12,0,Drive,3000,SDP,0,306,0
35,15,Full,9,RM,FORD,1388,P,3700,5,3,Drive,2000,SDP&C,0,467,0
31,12,Full,12,SO,VOLKSWAGEN,1198,P,700,10,3,Drive,8000,Business,0,196,0
68,43,Full,20,OL,VAUXHALL,1398,P,6700,2,1,Drive,4500,SDP,0,312,0
61,43,Full,0,BT,PEUGEOT,1868,D,200,17,0,Drive,5000,SDP,0,476,0
76,57,Full,11,BD,SKODA,1197,P,12300,3,2,Garage,5000,SDP,0,285,0
20,3,Full,3,IP,FORD,1753,D,2200,8,0,Drive,8000,SDP,0,1090,0
60,40,Full,9,RM,MITSUBISHI,1584,P,700,13,1,Drive,3000,SDP,1,432,0
29,9,Full,9,LU,VAUXHALL,1398,P,6900,2,1,Drive,5000,SDP&C,1,412,0
18,0,Full,0,PO,TOYOTA,998,P,600,13,0,Drive,8000,SDP&C,0,1944,0
36,9,Full,2,HA,FORD,1242,P,1200,12,6,Drive,10000,SDP&C,1,510,0
24,4,Full,0,OL,KIA,1591,P,12000,0,0,Drive,4000,SDP,0,2217,0
26,9,Full,8,HU,FORD,1596,P,8800,2,0,Road,5000,SDP&C,0,498,0
17,0,Full,0,CF,FORD,1597,P,1100,10,0,Road,5000,SDP&C,0,2056,0
70,40,Full,0,LL,MERCEDES-BENZ,2143,D,8600,7,0,Drive,3000,SDP,0,645,0
53,34,Full,17,G,MAZDA,1999,P,3000,7,0,Road,2000,Business,0,458,0
34,16,Full,6,WV,VOLKSWAGEN,1198,P,1800,8,3,Road,10000,SDP,0,475,0
71,40,Full,9,FY,NISSAN,1198,P,10000,3,2,Garage,4000,SDP,0,215,0
60,26,Full,10,PO,BMW,2996,P,4600,10,3,Drive,6000,SDP&C,0,241,0
54,25,Full,13,B,VAUXHALL,1598,P,2500,7,2,Drive,5000,SDP,0,383,0
50,26,Full,9,TW,PEUGEOT,1997,P,700,14,2,Road,3000,Business,0,239,0
32,12,Full,5,UB,VOLKSWAGEN,1390,P,4000,16,3,Drive,5000,SDP,0,1328,0
37,15,Full,14,PA,VAUXHALL,1598,P,2500,7,0,Drive,4000,SDP,0,262,0
45,17,Full,0,CO,MINI,1396,P,2600,9,0,Road,5000,SDP&C,0,572,0
37,20,Full,0,RG,AUDI,1984,P,4200,11,0,Garage,10000,SDP,0,890,0
44,5,Full,5,B,FORD,999,P,7800,1,0,Drive,2000,Business,0,583,0
42,25,Full,9,SG,FORD,1596,P,3200,9,2,Drive,3000,Business,1,246,0
56,34,Full,17,B,MERCEDES-BENZ,2143,D,22000,2,1,Drive,4000,SDP&C,0,589,0
69,45,Full,20,RG,NISSAN,1769,P,100,17,0,Drive,3000,SDP,0,254,0
51,30,Full,9,TS,SKODA,1968,D,5700,6,0,Drive,5000,SDP,0,400,0
27,10,Full,6,LA,VOLKSWAGEN,1598,D,7100,4,0,Drive,8000,Business,0,548,0
68,49,Full,9,DY,VAUXHALL,1229,P,1600,8,0,Garage,11000,SDP,1,225,0
45,23,Full,20,B,FORD,1753,D,800,10,2,Drive,6000,SDP,0,688,0
